repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"randerous/dsh-turn-budget","https://github.com/randerous/dsh-turn-budget","dsh-turn-budget — DSH 插件（工具）","Advisory turn step-budget reminders for DeepSeek Harness — loop convergence guard (dsh-plugin)","tools","yes","TypeScript","TypeScript, dsh-tools, dsh-session, esm","@deepseek-ai/schemastery","1","0","29039","28KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","@deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-loop; @deepseek-ai/dsh-agent-loop-testkit; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"ben7am1n/dsh-mcp-proxy","https://github.com/ben7am1n/dsh-mcp-proxy","dsh-mcp-proxy — DSH 插件（会话）","Context-cheap lazy MCP access for DeepSeek Harness","session","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","1","0","147219","144KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"spike-faye-lei/spike-faye-lei-dsh-skills","https://github.com/spike-faye-lei/spike-faye-lei-dsh-skills","spike-faye-lei-dsh-skills — DSH 插件（技能）","spike-faye-lei/dsh-skills","skills","yes","Python","Python","","1","0","47966045","45.7MB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","readme-mentions-dsh"
"YYTbit/dsh-plugin-vision-toolkit","https://github.com/YYTbit/dsh-plugin-vision-toolkit","dsh-plugin-vision-toolkit — DSH 插件（模型）","Vision toolkit for DeepSeek Harness -- give text-only agents eyes","llm","yes","TypeScript","TypeScript, typescript, esm, ts-build","","1","0","17213","17KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"sikwoxy/dsh-tool-reqpipe","https://github.com/sikwoxy/dsh-tool-reqpipe","dsh-tool-reqpipe — DSH 插件（工具）","dsh-tool-reqpipe — a DSH plugin (tool).","tools","yes","Python","Python","","1","0","181179","177KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","readme-mentions-dsh"
"rsagacom/dsh-ajw","https://github.com/rsagacom/dsh-ajw","DS安甲网 (ds.ajw.cn) · 为你的 DeepSeek Harness 机器人 安装上所需功能的装甲吧 — 每日聚合 DeepSeek Harness / DSH 插件生态开源项目","dsh-ajw — DSH plugin (tools)","tools","yes","JavaScript","JavaScript","","1","0","4221635","4.0MB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","readme-mentions-dsh"
"PangYiMing/dsh-port-guard","https://github.com/PangYiMing/dsh-port-guard","dsh-port-guard — DSH 插件（工具）","dsh-port-guard — a DSH plugin (tool).","tools","yes","Shell","Shell, esm","","1","0","6367","6KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"lin-cheng-lab/dsh-deepseek-balance","https://github.com/lin-cheng-lab/dsh-deepseek-balance","DeepSeek API 余额监视器：DSH 右下角悬浮徽章 + 7天/30天用量费用图表","dsh-deepseek-balance — DSH plugin (acp)","acp","yes","TypeScript","TypeScript, react, typescript, esm, ts-build","","1","0","156642","153KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-runtime; readme-mentions-dsh"
"ben7am1n/dsh-deepseek-usage","https://github.com/ben7am1n/dsh-deepseek-usage","dsh-deepseek-usage — DSH 插件（桥接）","DeepSeek balance and token usage tools for DeepSeek Harness","acp","yes","TypeScript","TypeScript, dsh-tools, dsh-session, typescript, esm, ts-build","@deepseek-ai/schemastery","1","0","30067","29KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-session; @deepseek-ai/dsh-token-meter; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Isekai-Mfu/dsh-mimo-vision-hint","https://github.com/Isekai-Mfu/dsh-mimo-vision-hint","dsh-mimo-vision-hint — DSH 插件（模型）","DSH plugin: dispatch image-recognition tasks to an opencode-go mimo-v2.5 subagent via system-prompt injection","llm","yes","JavaScript","JavaScript, esm","","1","1","17807","17KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; readme-mentions-dsh"
"Liu-ty/dsh-balance-display","https://github.com/Liu-ty/dsh-balance-display","dsh-balance-display — DSH 插件（桥接）","DeepSeek API balance overlay for DeepSeek Harness","acp","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","1","0","100598","98KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"ben7am1n/dsh-lens-lite","https://github.com/ben7am1n/dsh-lens-lite","dsh-lens-lite — DSH 插件（工具）","Post-edit diagnostics for DeepSeek Harness","tools","yes","TypeScript","TypeScript, dsh-tools, dsh-session, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","1","0","114550","112KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-subprocess-local; @deepseek-ai/dsh-timeout; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"BeAChanger/dsh-openclaw-acp","https://github.com/BeAChanger/dsh-openclaw-acp","dsh-openclaw-acp — DSH 插件（其他）","DeepSeek Harness bundle for OpenClaw and WeChat over ACP","utility","yes","JavaScript","JavaScript, esm","@deepseek-ai/dsh-acp, @deepseek-ai/schemastery","1","0","634373","620KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-acp; @deepseek-ai/schemastery; @deepseek-ai/dsh; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"shujiTech/dsh-plugin-wepre","https://github.com/shujiTech/dsh-plugin-wepre","dsh-plugin-wepre — DSH 插件（会话）","DeepSeek Harness plugin: publish single-screen content cards to WePre Next from a dsh agent session","session","yes","JavaScript","JavaScript, dsh-tools, esm","","1","0","56958","56KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"PangYiMing/dsh-bisect-debug","https://github.com/PangYiMing/dsh-bisect-debug","dsh-bisect-debug — DSH 插件（工具）","dsh-bisect-debug — a DSH plugin (tool).","tools","yes","JavaScript","JavaScript, esm","","1","0","6325","6KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"randerous/dsh-turn-meta","https://github.com/randerous/dsh-turn-meta","dsh-turn-meta — DSH 插件（工具）","Opt-in per-step turn metadata for DeepSeek Harness — a minimal first-plugin template (dsh-plugin)","tools","yes","TypeScript","TypeScript, dsh-tools, dsh-session, esm","@deepseek-ai/schemastery","1","0","33104","32KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","@deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-loop; @deepseek-ai/dsh-agent-loop-testkit; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"MashedPotato817/dsh-tool-browser","https://github.com/MashedPotato817/dsh-tool-browser","dsh-tool-browser — DSH 插件（工具）","Native browser automation tools for DeepSeek Harness, powered by Playwright + Edge","tools","yes","JavaScript","JavaScript, dsh-tools, playwright, esm","@deepseek-ai/schemastery","1","0","62178","61KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","@deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"YYTbit/dsh-plugin-context-compressor","https://github.com/YYTbit/dsh-plugin-context-compressor","dsh-plugin-context-compressor — DSH 插件（会话）","Context compression skill for DeepSeek Harness","session","yes","TypeScript","TypeScript, typescript, esm, ts-build","","1","0","5747","6KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"PangYiMing/dsh-batch-regression","https://github.com/PangYiMing/dsh-batch-regression","dsh-batch-regression — DSH 插件（工具）","dsh-batch-regression — a DSH plugin (tool).","tools","yes","Shell","Shell, esm","","1","0","6076","6KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"ArtificialNotImbecile/dsh-context-taxonomy","https://github.com/ArtificialNotImbecile/dsh-context-taxonomy","dsh-context-taxonomy — DSH 插件（会话）","Logical-call context taxonomy plugin for DeepSeek Harness","session","yes","TypeScript","TypeScript, dsh-session, react, typescript, vite, esm, ts-build","","1","0","556835","544KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","@deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-api-gateway; @deepseek-ai/dsh-brand; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-llm-retry; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-persistence; @deepseek-ai/dsh-storage-domain; @deepseek-ai/dsh-typert-generator; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/schemastery; readme-mentions-dsh"
"pandashere/dsh-kimi-bridge","https://github.com/pandashere/dsh-kimi-bridge","dsh-kimi-bridge — DSH 插件（桥接）","Kimi CLI bridge plugin for DeepSeek Harness with review-only mode and a Web conversation tab.","acp","yes","TypeScript","TypeScript, react, typescript, esbuild, esm, ts-build","","1","0","215787","211KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; keyword-plugin; readme-mentions-dsh"
"PangYiMing/dsh-browser-control","https://github.com/PangYiMing/dsh-browser-control","dsh-browser-control — DSH 插件（工具）","dsh-browser-control — a DSH plugin (tool).","tools","yes","JavaScript","JavaScript, esm","","1","0","31233","31KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-tools; @deepseek-ai/cordis; readme-mentions-dsh"
"ShawnSiao/dsh-agent-eval","https://github.com/ShawnSiao/dsh-agent-eval","dsh-agent-eval — DSH 插件（编排）","Planned repeatable agent and plugin regression evaluation for DeepSeek Harness","orchestration","no","unknown","unknown","","1","0","0","0B","2026-08-13","2026-08-13","unknown","0","unknown","yes","false","plugin",""
"joyfoxai/dsh-eco-router","https://github.com/joyfoxai/dsh-eco-router","dsh-eco-router — DSH 插件（模型）","A token-efficient model-routing flywheel for the DeepSeek Harness.","llm","yes","TypeScript","TypeScript, react, typescript, esm","@deepseek-ai/schemastery","1","0","68791","67KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","@deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-settings-plugins; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-api-remotes; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"gordonlu/dsh-context-lens","https://github.com/gordonlu/dsh-context-lens","dsh-context-lens — DSH 插件（会话）","Request Context Profiler for DeepSeek Harness — see what changed between model requests, and how cache reuse changed with it.","session","yes","TypeScript","TypeScript, dsh-session, react, typescript, vite, esm, ts-build","","1","0","3371619","3.2MB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-brand; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-projection; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"YYTbit/dsh-plugin-agent-dashboard","https://github.com/YYTbit/dsh-plugin-agent-dashboard","dsh-plugin-agent-dashboard — DSH 插件（编排）","Multi-agent dashboard skill for DeepSeek Harness","orchestration","yes","TypeScript","TypeScript, typescript, esm, ts-build","","1","0","5448","5KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Bandersnatch0x/amber-protocol","https://github.com/Bandersnatch0x/amber-protocol","amber-protocol — DSH 插件（编排）","Amber Protocol: repository-local governance for coding agents, including a DeepSeek Harness (dsh) patch overlay.","orchestration","yes","JavaScript","JavaScript, ts-build","","1","0","11345108","10.8MB","2026-06-21","2026-08-14","MIT","4","unknown","yes","false","plugin","readme-mentions-dsh"
"Demogorgon314/dsh-resume-plugin","https://github.com/Demogorgon314/dsh-resume-plugin","让 DeepSeek Harness 安全读取并继续 Codex 与 Claude Code 的历史会话。","dsh-resume-plugin — DSH plugin (session)","session","yes","Python","Python, esm","","1","0","120289","117KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-skill; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Very12345/sai","https://github.com/Very12345/sai","sai — DSH 插件（编排）","A local-first Android coding agent powered by the official DeepSeek Harness","orchestration","yes","Kotlin","Kotlin","","1","0","2523243","2.4MB","2026-08-13","2026-08-13","NOASSERTION","1","unknown","yes","false","plugin","readme-mentions-dsh"
"Gordonynh/dsh-plugin-codex-import","https://github.com/Gordonynh/dsh-plugin-codex-import","dsh-plugin-codex-import — DSH 插件（会话）","dsh-plugin-codex-import — a DSH plugin (session).","session","yes","JavaScript","JavaScript, esm","","1","0","76598","75KB","2026-08-13","2026-08-13","NOASSERTION","0","unknown","yes","false","plugin","@deepseek-ai/cordis; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-persistence; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Kevoyuan/dsh-mac-vision","https://github.com/Kevoyuan/dsh-mac-vision","dsh-mac-vision — DSH 插件（模型）","On-device macOS OCR and Apple Vision for DeepSeek Harness — one native plugin with a bundled Skill.","llm","yes","Swift","Swift, dsh-tools, typescript, esm, ts-build","","1","0","133348","130KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; readme-mentions-dsh"
"Sdongmaker/vpshub","https://github.com/Sdongmaker/vpshub","vpshub — DSH 插件（编排）","VPS Hub for DeepSeek Harness: SSH ledger plugin — agents discover, test, execute on, and transfer files to your cloud servers. Keys stay lo…","orchestration","yes","JavaScript","JavaScript, esm","","1","0","166261","162KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","@deepseek-ai/cordis; @deepseek-ai/dsh-tools; keyword-plugin; readme-mentions-dsh"
"alison-xx/deepseek-harness-flow","https://github.com/alison-xx/deepseek-harness-flow","deepseek-harness-flow — DSH 插件（编排）","Visual workflows and multi-model evaluation for DeepSeek Harness","orchestration","yes","TypeScript","TypeScript, react, playwright, typescript, vite, esm, ts-build","@xyflow/react","1","0","812552","794KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/schemastery; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/dsh-workflow; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"lonelymoon87/dsh-code-intel","https://github.com/lonelymoon87/dsh-code-intel","dsh-code-intel — DSH 插件（工具）","Symbol-aware code indexing and hybrid search for DeepSeek Harness.","tools","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","","1","0","143251","140KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-jobs; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"asdf17128/dsh-doctor","https://github.com/asdf17128/dsh-doctor","dsh-doctor — DSH 插件（工具）","Find what your DeepSeek Harness (dsh) patches silently broke — dead patches, config fields dropped by whole-config replacement, unmaintaine…","tools","yes","JavaScript","JavaScript, esm","","1","0","77078","75KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","keyword-plugin; keyword-dsh; readme-mentions-dsh"
"minatoAI/jina-dsh-plugin","https://github.com/minatoAI/jina-dsh-plugin","jina-dsh-plugin — DSH 插件（桥接）","Jina AI tools for DeepSeek Harness: 12 model tools (web / arXiv / SSRN search, read, screenshot, embeddings, rerank, classify, PDF, primer)…","acp","yes","JavaScript","JavaScript, esm","","1","0","77224","75KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; readme-mentions-dsh"
"csiroqa/dsh-backup-sync","https://github.com/csiroqa/dsh-backup-sync","dsh-backup-sync — DSH 插件（工具）","dsh-backup-sync — a DSH plugin (tool).","tools","yes","TypeScript","TypeScript, dsh-session, typescript, esm, ts-build","@deepseek-ai/cordis, @deepseek-ai/cordis-plugin-timer, @deepseek-ai/dsh-client-runtime, @deepseek-ai/dsh-commands, @deepseek-ai/dsh-credentials, @deepseek-ai/dsh-home-paths, @deepseek-ai/dsh-session, @deepseek-ai/dsh-session-persistence","1","0","108849","106KB","2026-08-13","2026-08-13","unknown","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-timer; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-home-paths; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-persistence; @deepseek-ai/dsh-workspace; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"userInner/dsh-academic-research","https://github.com/userInner/dsh-academic-research","dsh-academic-research — DSH 插件（工具）","Evidence-grounded bilingual academic research plugin for DeepSeek Harness and OnPeople","tools","yes","TypeScript","TypeScript, typescript, esm, ts-build","","1","0","72805","71KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"xu1132/dsh-plugin-hello","https://github.com/xu1132/dsh-plugin-hello","dsh-plugin-hello — DSH 插件（工具）","A minimal DeepSeek Harness community plugin that registers a callable hello tool","tools","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","1","0","8397","8KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"Tokimorphling/deepseek-harness-rs","https://github.com/Tokimorphling/deepseek-harness-rs","deepseek-harness-rs — DSH 插件（工具）","A rust port for deepseek's harness","tools","no","unknown","unknown","","1","0","23","23B","2026-08-13","2026-08-13","unknown","0","unknown","yes","false","plugin",""
"csiroqa/dsh-plugin-usage-report","https://github.com/csiroqa/dsh-plugin-usage-report","dsh-plugin-usage-report — DSH 插件（模型）","DSH usage report: daily/monthly token & cost aggregation, alerts.","llm","yes","TypeScript","TypeScript, esm","","1","0","114097","111KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","keyword-plugin; keyword-dsh; readme-mentions-dsh"
"HomophonicFate/rpg-maker-mac-skill","https://github.com/HomophonicFate/rpg-maker-mac-skill","rpg-maker-mac-skill — DSH 插件（技能）","rpg-maker-mac-skill — a DSH plugin (skill).","skills","yes","JavaScript","JavaScript","","1","0","56129","55KB","2026-08-13","2026-08-14","unknown","0","unknown","yes","false","plugin","readme-mentions-dsh"
"wangxiang0605qvq/dsh-auto-compact","https://github.com/wangxiang0605qvq/dsh-auto-compact","dsh-auto-compact — DSH 插件（会话）","dsh-auto-compact — a DSH plugin (session).","session","yes","JavaScript","JavaScript, esm","","1","0","7997","8KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","@deepseek-ai/dsh-tools; @deepseek-ai/dsh-compaction; @deepseek-ai/cordis; readme-mentions-dsh"
"Karuisawa-Mrs/dsh-plugins","https://github.com/Karuisawa-Mrs/dsh-plugins","dsh-plugins — DSH 插件（界面）","Community plugins for DeepSeek Harness (DSH)","ui","yes","unknown","unknown","","1","0","73179","71KB","2026-08-13","2026-08-13","unknown","0","unknown","yes","false","plugin","readme-mentions-dsh"
"kiim-wong/dsh-push","https://github.com/kiim-wong/dsh-push","dsh-push — DSH 插件（编排）","Push DeepSeek Harness agent lifecycle notifications to configurable channels","orchestration","yes","TypeScript","TypeScript, dsh-tools, dsh-session, typescript, esm","","1","0","126002","123KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-session; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"Very12345/sai-dsh-plugins","https://github.com/Very12345/sai-dsh-plugins","sai-dsh-plugins — DSH 插件（编排）","First-party DeepSeek Harness plugins for the sai Android coding agent","orchestration","yes","JavaScript","JavaScript, esm","","1","0","50599","49KB","2026-08-13","2026-08-14","NOASSERTION","0","unknown","yes","false","plugin","readme-mentions-dsh"
"xiaoxiao-svg/delivery-review-dsh-plugin","https://github.com/xiaoxiao-svg/delivery-review-dsh-plugin","delivery-review-plugin（Claude Code 双 Agent 交付协作工作流插件）的 DeepSeek Harness 移植版。基于 DSH 的 Cordis 插件系统，以 bundle 方式分发，不改动 DSH 源码，全部能力由插件行在配置层挂载。","delivery-review-dsh-plugin — DSH plugin (orchestration)","orchestration","yes","JavaScript","JavaScript, esm","","1","0","89068","87KB","2026-08-13","2026-08-13","unknown","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-tools; readme-mentions-dsh"
"nightwhale-dev/nightwhale","https://github.com/nightwhale-dev/nightwhale","The community power-layer for DeepSeek Harness (dsh). 夜鲲 — 吞并生态好能力,评测集筛选,只喂真正有效的增强。","nightwhale — DSH plugin (ui)","ui","yes","unknown","unknown","","1","0","2226","2KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","readme-mentions-dsh"
"LuZhouheng/dsh-gen3d","https://github.com/LuZhouheng/dsh-gen3d","dsh-gen3d — DSH 插件（工具）","dsh-gen3d — a DSH plugin (tool).","tools","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","@deepseek-ai/cordis, @deepseek-ai/dsh-jobs, @deepseek-ai/dsh-skill, @deepseek-ai/dsh-tools","1","0","1084109","1.0MB","2026-08-14","2026-08-14","unknown","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-jobs; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Amengclass/dsh-memory","https://github.com/Amengclass/dsh-memory","dsh-memory — DSH 插件（会话）","Persistent, model-editable memory/notes store for DeepSeek Harness. Adds memory_set/get/delete/search tools backed by ctx.storageDomain so…","session","yes","JavaScript","JavaScript, esm","","1","0","21268","21KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-storage-domain; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"csiroqa/dsh-archive-viewer","https://github.com/csiroqa/dsh-archive-viewer","dsh-archive-viewer — DSH 插件（会话）","DSH archive enhancements: periodic archive, LLM summaries, session notes.","session","yes","TypeScript","TypeScript, react, typescript, esm, ts-build","","1","0","203023","198KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"Chi-hong22/dsh-mdbox","https://github.com/Chi-hong22/dsh-mdbox","dsh-mdbox — DSH 插件（工具）","dsh-mdbox — a DSH plugin (tool).","tools","yes","JavaScript","JavaScript, esm","","1","0","134990","132KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"crystalWinter666/dsh-header-status","https://github.com/crystalWinter666/dsh-header-status","dsh-header-status — DSH 插件（工具）","Move the info bar at the bottom of the chat to next to the title","tools","yes","JavaScript","JavaScript, esm","","1","1","29134","28KB","2026-08-13","2026-08-13","unknown","3","unknown","yes","false","plugin","@deepseek-ai/cordis; readme-mentions-dsh"
"tanf1ng/dsh-tool-hackernews","https://github.com/tanf1ng/dsh-tool-hackernews","面向 DeepSeek Harness 智能体的 Hacker News 工具集（hn_top_stories、hn_search、hn_item）","Hacker News tool suite (hn_top_stories, hn_search, hn_item) for DeepSeek Harness agents","orchestration","yes","JavaScript","JavaScript, typescript, esm, ts-build","@deepseek-ai/schemastery","1","0","77731","76KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
